 rank |            title            | revenue | total revenue | percent revenue 
  798 | PIZZA JUMANJI               |   28.93 |      64261.98 | 95.32
  801 | CHITTY LOCK                 |   28.92 |      64319.82 | 95.41
  801 | PAPI NECKLACE               |   28.92 |      64319.82 | 95.41
  803 | WON DARES                   |   28.91 |      64348.73 | 95.45
  804 | JEOPARDY ENCINO             |   28.90 |      64377.63 | 95.49
  805 | FINDING ANACONDA            |   28.88 |      64435.39 | 95.58
  805 | SAVANNAH TOWN               |   28.88 |      64435.39 | 95.58
  807 | CHRISTMAS MOONSHINE         |   28.79 |      64492.97 | 95.66
  807 | GREASE YOUTH                |   28.79 |      64492.97 | 95.66
  809 | INFORMER DOUBLE             |   27.95 |      64520.92 | 95.70
  810 | LEATHERNECKS DWARFS         |   27.93 |      64576.78 | 95.79
  810 | SQUAD FISH                  |   27.93 |      64576.78 | 95.79
  812 | DIARY PANIC                 |   27.91 |      64604.69 | 95.83
  813 | DRAGON SQUAD                |   27.89 |      64660.47 | 95.91
  813 | MINORITY KISS               |   27.89 |      64660.47 | 95.91
  815 | CANYON STOCK                |   27.81 |      64716.09 | 95.99
  815 | ENCINO ELF                  |   27.81 |      64716.09 | 95.99
  817 | BORROWERS BEDAZZLED         |   27.78 |      64743.87 | 96.04
  818 | PRIVATE DROP                |   26.95 |      64770.82 | 96.08
  819 | PET HAUNTING                |   26.92 |      64824.66 | 96.16
  819 | UNFAITHFUL KILL             |   26.92 |      64824.66 | 96.16
  821 | CRAZY HOME                  |   26.91 |      64851.57 | 96.20
  822 | EVOLUTION ALTER             |   26.88 |      64878.45 | 96.24
  823 | RESURRECTION SILVERADO      |   26.79 |      64905.24 | 96.27
  824 | BUNCH MINDS                 |   25.95 |      64931.19 | 96.31
  825 | DESIRE ALIEN                |   25.92 |      64957.11 | 96.35
  826 | JUNGLE CLOSER               |   25.86 |      65008.83 | 96.43
  826 | NOTORIOUS REUNION           |   25.86 |      65008.83 | 96.43
  828 | MOSQUITO ARMAGEDDON         |   25.85 |      65034.68 | 96.47
  829 | HOLOCAUST HIGHBALL          |   25.83 |      65060.51 | 96.51
  830 | UNFORGIVEN ZOOLANDER        |   25.82 |      65086.33 | 96.54
  831 | MASKED BUBBLE               |   25.80 |      65112.13 | 96.58
  832 | DECEIVER BETRAYED           |   25.79 |      65137.92 | 96.62
  833 | TRAIN BUNCH                 |   24.96 |      65162.88 | 96.66
  834 | HUNTER ALTER                |   24.95 |      65212.78 | 96.73
  834 | TRAFFIC HOBBIT              |   24.95 |      65212.78 | 96.73
  836 | BED HIGHBALL                |   24.94 |      65237.72 | 96.77
  837 | WORLD LEATHERNECKS          |   24.92 |      65262.64 | 96.81
  838 | GATHERING CALENDAR          |   24.89 |      65287.53 | 96.84
  839 | DRUMS DYNAMITE              |   24.87 |      65337.27 | 96.92
  839 | EVERYONE CRAFT              |   24.87 |      65337.27 | 96.92
  841 | STREAK RIDGEMONT            |   24.84 |      65362.11 | 96.95
  842 | POLISH BROOKLYN             |   24.82 |      65386.93 | 96.99
  843 | PATIENT SISTER              |   24.81 |      65411.74 | 97.03
  844 | DRACULA CRYSTAL             |   24.79 |      65461.32 | 97.10
  844 | WOLVES DESIRE               |   24.79 |      65461.32 | 97.10
  846 | MANNEQUIN WORST             |   23.95 |      65485.27 | 97.14
  847 | CASSIDY WYOMING             |   23.94 |      65533.15 | 97.21
  847 | DUCK RACER                  |   23.94 |      65533.15 | 97.21
  849 | LESSON CLEOPATRA            |   23.93 |      65557.08 | 97.24
  850 | CHAPLIN LICENSE             |   23.92 |      65604.92 | 97.31
  850 | CLYDE THEORY                |   23.92 |      65604.92 | 97.31
  852 | BIRDCAGE CASPER             |   23.91 |      65628.83 | 97.35
  853 | REEF SALUTE                 |   23.89 |      65652.72 | 97.38
  854 | WRATH MILE                  |   23.86 |      65676.58 | 97.42
  855 | ODDS BOOGIE                 |   23.85 |      65700.43 | 97.45
  856 | HOMEWARD CIDER              |   23.84 |      65724.27 | 97.49
  857 | EXTRAORDINARY CONQUERER     |   22.94 |      65770.15 | 97.56
  857 | HAPPINESS UNITED            |   22.94 |      65770.15 | 97.56
  859 | BANG KWAI                   |   22.93 |      65838.94 | 97.66
  859 | LICENSE WEEKEND             |   22.93 |      65838.94 | 97.66
  859 | NEWSIES STORY               |   22.93 |      65838.94 | 97.66
  862 | SHINING ROSES               |   22.92 |      65861.86 | 97.69
  863 | ARABIA DOGMA                |   22.87 |      65907.60 | 97.76
  863 | HUNGER ROOF                 |   22.87 |      65907.60 | 97.76
  865 | VIETNAM SMOOCHY             |   22.85 |      65930.45 | 97.80
  866 | GANDHI KWAI                 |   22.83 |      65953.28 | 97.83
  867 | MUSIC BOONDOCK              |   22.81 |      65976.09 | 97.86
  868 | KILLER INNOCENT             |   21.94 |      66041.91 | 97.96
  868 | PHANTOM GLORY               |   21.94 |      66041.91 | 97.96
  868 | WARLOCK WEREWOLF            |   21.94 |      66041.91 | 97.96
  871 | MENAGERIE RUSHMORE          |   21.93 |      66085.77 | 98.03
  871 | MULHOLLAND BEAST            |   21.93 |      66085.77 | 98.03
  873 | CITIZEN SHREK               |   21.87 |      66129.51 | 98.09
  873 | MONTEREY LABYRINTH          |   21.87 |      66129.51 | 98.09
  875 | BULL SHAWSHANK              |   21.84 |      66151.35 | 98.12
  876 | BRIDE INTRIGUE              |   21.81 |      66194.97 | 98.19
  876 | JEDI BENEATH                |   21.81 |      66194.97 | 98.19
  878 | IMPACT ALADDIN              |   20.91 |      66215.88 | 98.22
  879 | SPOILERS HELLFIGHTERS       |   20.90 |      66236.78 | 98.25
  880 | TENENBAUMS COMMAND          |   20.87 |      66257.65 | 98.28
  881 | KANE EXORCIST               |   20.86 |      66278.51 | 98.31
  882 | CRAFT OUTFIELD              |   20.84 |      66299.35 | 98.34
  883 | MYSTIC TRUMAN               |   19.90 |      66319.25 | 98.37
  884 | LANGUAGE COWBOY             |   19.89 |      66359.03 | 98.43
  884 | SPIRITED CASUALTIES         |   19.89 |      66359.03 | 98.43
  886 | LOVERBOY ATTACKS            |   19.88 |      66398.79 | 98.49
  886 | SORORITY QUEEN              |   19.88 |      66398.79 | 98.49
  888 | TOMATOES HELLFIGHTERS       |   19.86 |      66418.65 | 98.52
  889 | RUSHMORE MERMAID            |   18.94 |      66456.53 | 98.58
  889 | SIMON NORTH                 |   18.94 |      66456.53 | 98.58
  891 | HOLY TADPOLE                |   18.91 |      66475.44 | 98.60
  892 | ENDING CROWDS               |   18.89 |      66494.33 | 98.63
  893 | CROW GREASE                 |   18.88 |      66513.21 | 98.66
  894 | PRIDE ALAMO                 |   18.84 |      66532.05 | 98.69
  895 | SMOKING BARBARELLA          |   18.83 |      66550.88 | 98.72
  896 | LADYBUGS ARMAGEDDON         |   17.94 |      66568.82 | 98.74
  897 | MAGIC MALLRATS              |   17.93 |      66586.75 | 98.77
  898 | GILBERT PELICAN             |   17.91 |      66604.66 | 98.80
  899 | SUPERFLY TRIP               |   17.90 |      66622.56 | 98.82
  900 | ANONYMOUS HUMAN             |   17.87 |      66658.30 | 98.88
  900 | HOOK CHARIOTS               |   17.87 |      66658.30 | 98.88
  902 | SIEGE MADRE                 |   17.85 |      66676.15 | 98.90
  903 | BRAVEHEART HUMAN            |   16.95 |      66727.00 | 98.98
  903 | CONSPIRACY SPIRIT           |   16.95 |      66727.00 | 98.98
  903 | FULL FLATLINERS             |   16.95 |      66727.00 | 98.98
  906 | YOUTH KICK                  |   16.94 |      66743.94 | 99.00
  907 | BENEATH RUSH                |   16.90 |      66777.74 | 99.05
  907 | FROGMEN BREAKING            |   16.90 |      66777.74 | 99.05
  909 | BEETHOVEN EXORCIST          |   16.89 |      66794.63 | 99.08
  910 | VALENTINE VANISHING         |   16.88 |      66811.51 | 99.10
  911 | BEDAZZLED MARRIED           |   16.87 |      66828.38 | 99.13
  912 | SILENCE KANE                |   16.84 |      66845.22 | 99.15
  913 | HARDLY ROBBERS              |   15.96 |      66877.14 | 99.20
  913 | MIXED DOORS                 |   15.96 |      66877.14 | 99.20
  915 | MUSSOLINI SPOILERS          |   15.95 |      66893.09 | 99.22
  916 | WILD APOLLO                 |   15.94 |      66909.03 | 99.25
  917 | HAWK CHILL                  |   15.93 |      66940.89 | 99.29
  917 | VISION TORQUE               |   15.93 |      66940.89 | 99.29
  919 | LAWRENCE LOVE               |   15.87 |      66972.63 | 99.34
  919 | SASSY PACKER                |   15.87 |      66972.63 | 99.34
  921 | GREEDY ROOTS                |   15.86 |      66988.49 | 99.37
  922 | SPIRIT FLINTSTONES          |   15.85 |      67004.34 | 99.39
  923 | GLORY TRACY                 |   14.95 |      67019.29 | 99.41
  924 | SLING LUKE                  |   14.94 |      67049.17 | 99.46
  924 | VANISHED GARDEN             |   14.94 |      67049.17 | 99.46
  926 | RUNNER MADIGAN              |   14.92 |      67064.09 | 99.48
  927 | ZHIVAGO CORE                |   14.91 |      67079.00 | 99.50
  928 | SMOOCHY CONTROL             |   14.88 |      67093.88 | 99.52
  929 | DUMBO LUST                  |   13.94 |      67121.76 | 99.56
  929 | WATERSHIP FRONTIER          |   13.94 |      67121.76 | 99.56
  931 | LEGEND JEDI                 |   13.91 |      67135.67 | 99.58
  932 | NOTTING SPEAKEASY           |   13.90 |      67149.57 | 99.60
  933 | HOLLYWOOD ANONYMOUS         |   13.87 |      67163.44 | 99.62
  934 | TREATMENT JEKYLL            |   12.93 |      67176.37 | 99.64
  935 | RUNAWAY TENENBAUMS          |   12.92 |      67215.13 | 99.70
  935 | SOUP WISDOM                 |   12.92 |      67215.13 | 99.70
  935 | SUNSET RACER                |   12.92 |      67215.13 | 99.70
  938 | VICTORY ACADEMY             |   12.91 |      67228.04 | 99.72
  939 | TOWERS HURRICANE            |   12.89 |      67240.93 | 99.74
  940 | MAUDE MOD                   |   11.92 |      67252.85 | 99.76
  941 | GHOSTBUSTERS ELF            |   11.91 |      67276.67 | 99.79
  941 | MONTEZUMA COMMAND           |   11.91 |      67276.67 | 99.79
  943 | CLOCKWORK PARADISE          |   11.90 |      67300.47 | 99.83
  943 | JAWBREAKER BROOKLYN         |   11.90 |      67300.47 | 99.83
  945 | CONNECTION MICROCOSMOS      |   10.93 |      67311.40 | 99.84
  946 | BALLROOM MOCKINGBIRD        |   10.92 |      67322.32 | 99.86
  947 | COMANCHEROS ENEMY           |    9.94 |      67332.26 | 99.88
  948 | HAROLD FRENCH               |    9.92 |      67352.10 | 99.90
  948 | LIGHTS DEER                 |    9.92 |      67352.10 | 99.90
  950 | STALLION SUNDANCE           |    8.93 |      67361.03 | 99.92
  951 | JAPANESE RUN                |    7.94 |      67368.97 | 99.93
  952 | CRUELTY UNFORGIVEN          |    7.93 |      67376.90 | 99.94
  953 | REBEL AIRPORT               |    7.92 |      67384.82 | 99.95
  954 | DUFFEL APOCALYPSE           |    6.93 |      67398.68 | 99.97
  954 | YOUNG LANGUAGE              |    6.93 |      67398.68 | 99.97
  956 | FREEDOM CLEOPATRA           |    5.95 |      67404.63 | 99.98
  957 | OKLAHOMA JUMANJI            |    5.94 |      67416.51 | 100.00
  957 | TEXAS WATCH                 |    5.94 |      67416.51 | 100.00
  959 | ALICE FANTASIA              |    0.00 |      67416.51 | 100.00
  959 | APOLLO TEEN                 |    0.00 |      67416.51 | 100.00
  959 | ARGONAUTS TOWN              |    0.00 |      67416.51 | 100.00
  959 | ARK RIDGEMONT               |    0.00 |      67416.51 | 100.00
  959 | ARSENIC INDEPENDENCE        |    0.00 |      67416.51 | 100.00
  959 | BOONDOCK BALLROOM           |    0.00 |      67416.51 | 100.00
  959 | BUTCH PANTHER               |    0.00 |      67416.51 | 100.00
  959 | CATCH AMISTAD               |    0.00 |      67416.51 | 100.00
  959 | CHINATOWN GLADIATOR         |    0.00 |      67416.51 | 100.00
  959 | CHOCOLATE DUCK              |    0.00 |      67416.51 | 100.00
  959 | COMMANDMENTS EXPRESS        |    0.00 |      67416.51 | 100.00
  959 | CROSSING DIVORCE            |    0.00 |      67416.51 | 100.00
  959 | CROWDS TELEMARK             |    0.00 |      67416.51 | 100.00
  959 | CRYSTAL BREAKING            |    0.00 |      67416.51 | 100.00
  959 | DAZED PUNK                  |    0.00 |      67416.51 | 100.00
  959 | DELIVERANCE MULHOLLAND      |    0.00 |      67416.51 | 100.00
  959 | FIREHOUSE VIETNAM           |    0.00 |      67416.51 | 100.00
  959 | FLOATS GARDEN               |    0.00 |      67416.51 | 100.00
  959 | FRANKENSTEIN STRANGER       |    0.00 |      67416.51 | 100.00
  959 | GLADIATOR WESTWARD          |    0.00 |      67416.51 | 100.00
  959 | GUMP DATE                   |    0.00 |      67416.51 | 100.00
  959 | HATE HANDICAP               |    0.00 |      67416.51 | 100.00
  959 | HOCUS FRIDA                 |    0.00 |      67416.51 | 100.00
  959 | KENTUCKIAN GIANT            |    0.00 |      67416.51 | 100.00
  959 | KILL BROTHERHOOD            |    0.00 |      67416.51 | 100.00
  959 | MUPPET MILE                 |    0.00 |      67416.51 | 100.00
  959 | ORDER BETRAYED              |    0.00 |      67416.51 | 100.00
  959 | PEARL DESTINY               |    0.00 |      67416.51 | 100.00
  959 | PERDITION FARGO             |    0.00 |      67416.51 | 100.00
  959 | PSYCHO SHRUNK               |    0.00 |      67416.51 | 100.00
  959 | RAIDERS ANTITRUST           |    0.00 |      67416.51 | 100.00
  959 | RAINBOW SHOCK               |    0.00 |      67416.51 | 100.00
  959 | ROOF CHAMPION               |    0.00 |      67416.51 | 100.00
  959 | SISTER FREDDY               |    0.00 |      67416.51 | 100.00
  959 | SKY MIRACLE                 |    0.00 |      67416.51 | 100.00
  959 | SUICIDES SILENCE            |    0.00 |      67416.51 | 100.00
  959 | TADPOLE PARK                |    0.00 |      67416.51 | 100.00
  959 | TREASURE COMMAND            |    0.00 |      67416.51 | 100.00
  959 | VILLAIN DESPERATE           |    0.00 |      67416.51 | 100.00
  959 | VOLUME HOUSE                |    0.00 |      67416.51 | 100.00
  959 | WAKE JAWS                   |    0.00 |      67416.51 | 100.00
  959 | WALLS ARTIST                |    0.00 |      67416.51 | 100.00
(1000 rows)

