 rank |            title            | revenue | total revenue 
  959 | BUTCH PANTHER               |    0.00 |      67416.51
  959 | CATCH AMISTAD               |    0.00 |      67416.51
  959 | CHINATOWN GLADIATOR         |    0.00 |      67416.51
  959 | CHOCOLATE DUCK              |    0.00 |      67416.51
  959 | COMMANDMENTS EXPRESS        |    0.00 |      67416.51
  959 | CROSSING DIVORCE            |    0.00 |      67416.51
  959 | CROWDS TELEMARK             |    0.00 |      67416.51
  959 | CRYSTAL BREAKING            |    0.00 |      67416.51
  959 | DAZED PUNK                  |    0.00 |      67416.51
  959 | DELIVERANCE MULHOLLAND      |    0.00 |      67416.51
  959 | FIREHOUSE VIETNAM           |    0.00 |      67416.51
  959 | FLOATS GARDEN               |    0.00 |      67416.51
  959 | FRANKENSTEIN STRANGER       |    0.00 |      67416.51
  959 | GLADIATOR WESTWARD          |    0.00 |      67416.51
  959 | GUMP DATE                   |    0.00 |      67416.51
  959 | HATE HANDICAP               |    0.00 |      67416.51
  959 | HOCUS FRIDA                 |    0.00 |      67416.51
  959 | KENTUCKIAN GIANT            |    0.00 |      67416.51
  959 | KILL BROTHERHOOD            |    0.00 |      67416.51
  959 | MUPPET MILE                 |    0.00 |      67416.51
  959 | ORDER BETRAYED              |    0.00 |      67416.51
  959 | PEARL DESTINY               |    0.00 |      67416.51
  959 | PERDITION FARGO             |    0.00 |      67416.51
  959 | PSYCHO SHRUNK               |    0.00 |      67416.51
  959 | RAIDERS ANTITRUST           |    0.00 |      67416.51
  959 | RAINBOW SHOCK               |    0.00 |      67416.51
  959 | ROOF CHAMPION               |    0.00 |      67416.51
  959 | SISTER FREDDY               |    0.00 |      67416.51
  959 | SKY MIRACLE                 |    0.00 |      67416.51
  959 | SUICIDES SILENCE            |    0.00 |      67416.51
  959 | TADPOLE PARK                |    0.00 |      67416.51
  959 | TREASURE COMMAND            |    0.00 |      67416.51
  959 | VILLAIN DESPERATE           |    0.00 |      67416.51
  959 | VOLUME HOUSE                |    0.00 |      67416.51
  959 | WAKE JAWS                   |    0.00 |      67416.51
  959 | WALLS ARTIST                |    0.00 |      67416.51
(1000 rows)

